lat,lon,risk_score,risk_level,slope,NDVI,rainfall,competency_index,elevation,FS
30.1944,79.1939,0.9103,High,9.723365783691406,0.5428138156471868,1178.509236574173,0.6800000071525574,1606,5.56705456695673
30.37330931627975,78.31851589611558,0.0986,Low,22.065444946289062,0.8008431344456457,1592.7767491340635,0.4199999868869781,1899,1.8431338081398607
30.416,78.3415,0.8199,High,30.992441177368164,0.7745605903629786,1624.151246547699,0.449999988079071,2253,1.350064767250477
30.035159250271192,78.51692066486778,0.0215,Low,33.582916259765625,0.6668245728402324,1470.2509355545044,0.2000000029802322,1301,0.9318886993018908
30.945673537050805,78.94097143424294,0.0487,Low,42.58323669433594,0.4226310393530302,937.6397502422332,0.2000000029802322,4339,0.7764157630595411
30.35489768348656,79.40550141409607,0.016,Low,40.42537307739258,0.627861283033697,1284.074832201004,0.3799999952316284,2611,1.0057889602811367
30.9111,78.6814,0.9866,High,23.586769104003903,0.3472006570675132,1156.8512678146362,0.3799999952316284,2157,1.7613717553366408
30.80200029,78.61786282,0.9269,High,39.810638427734375,0.4744576731417659,1235.0772643089294,0.3799999952316284,2460,1.0273149614637802
30.39,79.39,0.926,High,28.90486526489257,0.8741780628504581,1102.231332063675,0.3799999952316284,2131,1.4429690085675615
30.59661,79.569767,0.5316,Medium,40.6497688293457,0.9796939931998492,1144.3018865585327,0.3799999952316284,1999,1.0182301790511454
30.01275647970743,79.54243586615371,0.2876,Low,18.94189071655273,0.7613355616916145,1406.492041349411,0.3799999952316284,1972,2.120885981116896
30.638,78.3297,0.9494,High,35.02389907836914,0.5942579023743699,1664.3780493736267,0.5799999833106995,1024,1.3660905111603
30.14387615538978,79.7316313798718,0.2534,Low,34.180023193359375,0.6826074264950124,1517.2119092941284,0.5799999833106995,2562,1.422566732441745
30.38,79.38,0.926,High,28.90486526489257,0.8741780628504581,1102.231332063675,0.3799999952316284,2131,1.4429690085675615
30.76576332104754,79.03170764341034,0.0792,Low,5.637773513793945,0.3956372409659845,1584.4772124290466,0.3799999952316284,4142,6.968097571363571
30.3799,78.4862,0.9841,High,28.746496200561523,0.338943707000179,1159.3949437141418,0.449999988079071,730,1.5490244354232547
30.02653220387382,79.25976703441702,0.7337,High,13.141353607177734,0.8231818034809207,1260.979769229889,0.3799999952316284,1892,3.134383868768462
30.601115011743207,79.57330798132081,0.5316,Medium,40.6497688293457,0.9796939931998492,1144.3018865585327,0.3799999952316284,1999,1.0182301790511454
30.65830743950606,79.5389518607948,0.0869,Low,68.4759292602539,0.4401503603883112,1314.1456413269043,0.3799999952316284,2571,0.7639805449196319
30.75402442,79.49970189,0.7302,High,33.78230667114258,0.393803301958138,1084.862803220749,0.3799999952316284,3844,1.2342919656821734
30.551,79.556,0.9968,High,17.02280044555664,0.4564857881136951,1144.3018865585327,0.3799999952316284,1590,2.456196980707777
30.1035,78.4265,0.9597,High,44.52487182617188,0.7472073184643828,1622.434983253479,0.5799999833106995,484,1.118847330467481
30.41918287590212,78.31991975726143,0.1288,Low,17.062580108642578,0.8389959783663846,1624.151246547699,0.449999988079071,2192,2.4467511681144862
30.964353234035983,78.4372160035414,0.1244,Low,27.223352432250977,0.865252589497638,1821.9656896591189,0.3799999952316284,2776,1.3807196367311976
30.230008837287706,78.94828035646972,0.0896,Low,24.17336654663086,0.3863882758670324,1211.73583984375,0.449999988079071,1414,1.8300826440106923
30.11755724912093,79.60839093709798,0.0099,Low,30.97975730895996,0.6241367891382834,1380.9651267528534,0.3799999952316284,2014,1.2938084235228409
30.307679089477947,78.5691687567025,0.095,Low,29.258071899414062,0.6697120738682438,1291.6522538661957,0.449999988079071,1164,1.4954175712050806
30.301,79.3628,0.9525,High,27.23179054260254,0.7027397549195369,1262.559232711792,0.3799999952316284,1369,1.4992672174049433
30.95591879996205,79.49113847303757,0.0263,Low,18.79543876647949,0.0888105304295308,837.322324514389,0.3799999952316284,5390,2.3206319954152037
30.345667283323863,78.65723806837201,0.0049,Low,32.54806900024414,0.7391157855329504,1295.987206697464,0.449999988079071,1398,1.3447812203901746
30.4043,79.3318,0.9794,High,38.11704635620117,0.5522335453221976,1075.1364409923551,0.3799999952316284,1076,1.094497582632184
30.2524,78.9228,0.9457,High,32.342342376708984,0.7496642331385011,1196.828315258026,0.449999988079071,794,1.3708077946573611
30.2828,78.3041,0.7418,High,24.44450569152832,0.7264882605087634,1856.935968399048,0.5799999833106995,1657,1.87473364718764
30.967035275256148,79.83463770180913,0.0039,Low,32.89638900756836,0.0970685103024034,494.0360748767853,0.4199999868869781,5357,1.4262716930805055
30.613970306325232,78.51393897778955,0.1681,Low,50.56282806396485,0.7692724903060771,1708.04851770401,0.449999988079071,1677,0.8660400446023859
30.262,79.2191,0.8146,High,36.7325439453125,0.6404779305539032,1141.0822176933289,0.449999988079071,888,1.2185559681846696
30.5345,79.0853,0.9482,High,25.990737915039062,0.3706086611956329,1289.2209243774414,0.3799999952316284,1106,1.5660337487541558
30.37681062777421,79.75839342024094,0.0147,Low,38.68827438354492,0.1512426795568437,1306.4858090877533,0.3799999952316284,4881,1.0467957315877725
30.6004,78.3154,0.9665,High,37.99652862548828,0.7029736877152261,1664.3780493736267,0.5799999833106995,1103,1.269775284713655
30.67629482,79.04191791,0.501,Medium,36.65911102294922,0.7385108347363276,1421.1643433570862,0.3799999952316284,3191,1.0871594365993869
30.7204,79.0758,0.8152,High,25.30034637451172,0.3595979271837803,1531.723654270172,0.3799999952316284,4083,1.5532816395450268
30.4521,78.754,0.961,High,26.66170883178711,0.5445551469246068,1524.3670964241028,0.3799999952316284,2126,1.474766655006298
30.866595688595503,78.90301178436866,0.0441,Low,24.59034538269043,-0.013585207604933,1060.687439441681,0.3799999952316284,5217,1.7112804823878769
30.2733,79.233,0.8534,High,27.869365692138672,0.6380349093759682,1141.0822176933289,0.6800000071525574,1231,1.973559843613912
30.73315585,79.49231617,0.8689,High,41.57918167114258,-0.3705834018077232,1102.4957942962646,0.3799999952316284,3669,1.0012716846533298
30.09505653683257,79.37592244056707,0.0329,Low,24.411766052246094,0.4950908714345555,1365.7857429981232,0.3799999952316284,1775,1.6504599691540616
30.909595391110944,79.04536704152484,0.0362,Low,26.7132625579834,-0.0252983654965502,1116.1274778842926,0.3799999952316284,5473,1.5606830652341226
30.708583545767823,79.62665688806042,0.0309,Low,45.27113342285156,0.240202519904151,1004.7481513023376,0.3799999952316284,4589,0.9342151535946448
30.33597362,79.31958144,0.9673,High,39.34046173095703,0.7599835745816652,1224.7855150699615,0.3799999952316284,1144,1.040708049924884
30.049860146399165,79.04078664616569,0.0092,Low,31.14573860168457,0.6665371428571429,1320.2233123779297,0.2000000029802322,2233,1.0367028883477014
30.251307687142155,79.29038930592027,0.0458,Low,34.606346130371094,0.7079855763466841,1227.5503158569336,0.449999988079071,1937,1.277458517419539
30.663310709504003,79.98284901022507,0.0081,Low,30.34846878051757,0.0747786556805788,613.7849044799805,0.4199999868869781,5039,1.5258824461742897
30.0702,78.3027,0.9713,High,2.8325252532958984,0.7908357994588537,1727.576603889465,0.1000000014901161,439,9.726997645670924
30.4619,79.0765,0.9547,High,18.10213279724121,0.6460211350822107,1287.365163564682,0.449999988079071,978,2.421788381071013
30.556,79.568,0.9968,High,17.02280044555664,0.4564857881136951,1144.3018865585327,0.3799999952316284,1590,2.456196980707777
30.2485,78.8847,0.9343,High,34.67637252807617,0.757039783386397,1194.3471217155457,0.449999988079071,729,1.2803289578612287
30.4008,79.0278,0.9797,High,39.9411506652832,0.582143633759939,1096.6858053207395,0.449999988079071,919,1.1307161007430506
30.15,78.7753,0.9373,High,20.19946479797364,0.5376136073292695,1393.0816566944122,0.449999988079071,1426,2.136881210053509
