point_id,lat,lon,label,elevation,slope,aspect,curvature,NDVI,rainfall,competency_index,FS
116,30.49903617290408,79.63630418760636,0,2606,41.54421615600586,301.9910583496094,-31.0,0.7497206703910616,1144.4354665279388,0.3799999952316284,0.9969084124490009
117,30.557,79.56,1,1590,17.02280044555664,17.879207611083984,-21.0,0.4564857881136951,1144.3018865585327,0.3799999952316284,2.456196980707777
118,30.966,78.4151,1,2317,42.27392578125,148.72740173339844,-52.0,0.5267995156086404,1821.9656896591189,0.3799999952316284,0.8987454952365309
119,30.316684356016925,79.20915726526277,0,1795,28.99248313903809,215.1197662353516,-4.0,0.7449282405970551,1012.2034800052644,0.44999998807907104,1.5657296354197814
120,30.94577471700846,78.61005852321703,0,3930,34.2150993347168,197.77862548828125,-25.0,0.2958907088255473,1111.1290633678436,0.3799999952316284,1.2142575811097056
121,30.7221,78.6437,1,3509,48.26533508300781,253.21343994140625,148.0,0.4003797603765511,1271.1053049564362,0.3799999952316284,0.8555506807614641
122,30.5631,79.5765,1,1957,60.486778259277344,221.2873687744141,-100.0,0.3924460689457466,1144.3018865585327,0.3799999952316284,0.7512535318459257
123,30.05017535031997,79.80322147208985,0,2502,31.22428321838379,8.872273445129395,-7.0,0.743641121495327,1409.3023550510406,0.5799999833106995,1.5697880349934978
124,30.4542,78.3911,1,1177,21.928300857543945,101.59864044189452,10.0,0.5639750352636561,1415.2111148834229,0.44999998807907104,1.9616832512620648
125,30.4783,78.2741,1,2065,16.56123924255371,22.27129554748535,-3.0,0.7163554159845879,1725.7447743415833,0.5799999833106995,2.802402449788056
126,30.4238,79.6724,1,4228,25.12987327575684,34.0807991027832,46.0,0.4841267383157306,1208.1035089492798,0.3799999952316284,1.6394462220011554
127,30.89409430253325,79.48289240532539,0,4876,27.223907470703125,199.27053833007807,14.0,0.1698329262967216,963.1628358364104,0.20000000298023224,1.2691681111392976
128,30.76100792349539,78.54621768165504,0,1894,54.4815673828125,122.10728454589844,15.0,0.611568309977109,1681.6785264015198,0.44999998807907104,0.8315069789029873
129,30.81507336,78.2242533,1,1198,8.76819896697998,257.8832702636719,12.0,0.4149267105938023,1672.2417759895325,0.5799999833106995,5.3224310858617665
130,30.21474450240836,78.3693943437276,0,715,36.68523025512695,101.27762603759766,27.0,0.7190053646780733,1573.9749550819397,0.44999998807907104,1.154782418577301
131,30.56,79.572,1,1590,17.02280044555664,17.879207611083984,-21.0,0.4564857881136951,1144.3018865585327,0.3799999952316284,2.456196980707777
132,30.9977493890102,78.73613002031499,0,3446,45.3833122253418,296.5663146972656,108.0,0.3987194176720363,1158.5472548007965,0.3799999952316284,0.9154559986565453
133,30.241,78.9,1,1004,42.58560562133789,320.8022766113281,26.0,0.7264605849897968,1238.4156322479248,0.44999998807907104,1.0479791489069596
134,30.07541217599279,78.9368173348921,0,1349,5.097821235656738,122.98196411132812,2.0,0.4452047389246371,1278.18434715271,0.5799999833106995,9.67171935936859
135,30.7467,78.4517,1,1251,39.45325469970703,79.80317687988281,-23.0,0.6234273817876492,1797.9834294319153,0.44999998807907104,1.0481921339977416
136,30.80517439736038,79.59655058958558,0,5099,23.460147857666016,245.7761383056641,10.0,0.0320421444065696,927.154723405838,0.3799999952316284,1.8289695229692124
137,30.52609401325154,78.75800333500815,0,1648,13.709710121154783,237.9372100830078,18.0,0.5344041596968904,1591.0075759887695,0.3799999952316284,2.855495479916831
138,30.6391199378155,78.21396736700737,0,1248,39.76156234741211,283.5013427734375,-25.0,0.5678539224526602,1589.667251110077,0.5799999833106995,1.2313579263022953
139,30.7313,78.4358,1,1301,39.06865310668945,322.9065856933594,26.0,0.794256254857784,1826.6001749038696,0.44999998807907104,1.0536155722846219
140,30.34096197364299,79.14900455288071,0,1038,9.752521514892578,280.8573608398437,3.0,0.4260143878330465,1023.0358147621156,0.20000000298023224,3.6264587806609256
